TimeStamp (ms); Total Power (W); CPU (W); Monitor (W); Disk (W); Base (W); Application (W)
63476249035178;31,9;0,4;--;0,0;31,6;--
63476249036301;32,8;1,2;--;0,0;31,6;--
63476249037353;31,6;0,0;--;0,0;31,6;--
63476249038452;34,4;2,8;--;0,0;31,6;--
63476249039516;31,6;0,0;--;0,0;31,6;--
63476249040577;31,8;0,2;--;0,0;31,6;--
63476249041627;32,7;1,1;--;0,0;31,6;--
63476249042667;32,2;0,7;--;0,0;31,6;--
63476249043757;32,4;0,8;--;0,0;31,6;--
63476249044787;32,9;1,3;--;0,0;31,6;--
63476249045881;31,6;0,0;--;0,0;31,6;--
63476249046893;34,4;2,9;--;0,0;31,6;--
63476249047905;32,0;0,4;--;0,0;31,6;--
63476249049030;31,6;0,0;--;0,0;31,6;--
63476249050044;33,0;1,5;--;0,0;31,6;--
63476249051066;32,3;0,7;--;0,0;31,6;--
63476249052072;31,6;0,0;--;0,0;31,6;--
63476249053185;31,6;0,0;--;0,0;31,6;--
63476249054242;32,0;0,4;--;0,0;31,6;--
63476249055320;33,0;1,4;--;0,0;31,6;--
63476249056329;32,9;1,3;--;0,0;31,6;--
63476249057344;31,6;0,0;--;0,0;31,6;--
63476249058357;31,6;0,0;--;0,0;31,6;--
63476249059449;32,7;1,2;--;0,0;31,6;--
63476249060525;31,6;0,0;--;0,0;31,6;--
63476249061540;32,0;0,4;--;0,0;31,6;--
63476249062623;31,8;0,2;--;0,0;31,6;--
63476249063633;31,6;0,1;--;0,0;31,6;--
63476249064786;32,8;1,3;--;0,0;31,6;--
63476249065834;32,3;0,7;--;0,0;31,6;--
63476249066926;31,6;0,0;--;0,0;31,6;--
63476249067954;33,1;1,6;--;0,0;31,6;--
63476249069098;31,7;0,1;--;0,0;31,6;--
63476249070113;32,8;1,2;--;0,0;31,6;--
63476249071260;31,6;0,0;--;0,0;31,6;--
63476249072438;34,0;2,4;--;0,0;31,6;--
63476249073493;31,6;0,0;--;0,0;31,6;--
63476249074556;32,6;1,0;--;0,0;31,6;--
63476249075604;31,6;0,0;--;0,0;31,6;--
63476249076628;32,5;0,9;--;0,0;31,6;--
63476249077640;31,8;0,3;--;0,0;31,6;--
63476249078688;32,2;0,7;--;0,0;31,6;--
63476249079738;31,6;0,0;--;0,0;31,6;--
63476249080759;31,7;0,1;--;0,0;31,6;--
63476249081819;32,1;0,5;--;0,0;31,6;--
63476249082865;33,2;1,7;--;0,0;31,6;--
63476249084021;31,6;0,0;--;0,0;31,6;--
